Season,Round,Track,Team,Points,Cost
2025,9,Spain,Haas Ferrari,6,9.8
2025,10,Canada,Mercedes,87,24.4
2025,10,Canada,Red Bull Racing Honda RBPT,51,27.5
2025,10,Canada,McLaren Mercedes,40,32.7
2025,10,Canada,Ferrari,57,28.8
2025,10,Canada,Aston Martin Aramco Mercedes,31,8.7
2025,10,Canada,Kick Sauber Ferrari,26,6.3
2025,10,Canada,Haas Ferrari,22,9.6
2025,10,Canada,Williams Mercedes,4,17.3
2025,10,Canada,Alpine Renault,11,7.7
2025,10,Canada,Racing Bulls Honda RBPT,-4,11.8
2025,11,Austria,McLaren Mercedes,100,33.0
2025,11,Austria,Ferrari,67,29.1
2025,11,Austria,Mercedes,19,24.7
2025,11,Austria,Racing Bulls Honda RBPT,34,12.4
2025,11,Austria,Aston Martin Aramco Mercedes,24,8.9
2025,11,Austria,Kick Sauber Ferrari,45,6.9
2025,11,Austria,Haas Ferrari,37,10.2
2025,11,Austria,Alpine Renault,17,8.3
2025,11,Austria,Red Bull Racing Honda RBPT,1,27.8
2025,11,Austria,Williams Mercedes,-36,16.7
2025,12,Great Britain,McLaren Mercedes,90,33.3
2025,12,Great Britain,Kick Sauber Ferrari,14,7.5
2025,12,Great Britain,Ferrari,41,29.4
2025,12,Great Britain,Red Bull Racing Honda RBPT,41,27.9
2025,12,Great Britain,Alpine Renault,5,8.9
2025,12,Great Britain,Aston Martin Aramco Mercedes,33,9.5
2025,12,Great Britain,Williams Mercedes,16,16.1
2025,12,Great Britain,Mercedes,7,25.0
2025,12,Great Britain,Haas Ferrari,25,10.8
2025,12,Great Britain,Racing Bulls Honda RBPT,-35,13.0
2025,13,Belgium,McLaren Mercedes,93,33.6
2025,13,Belgium,Ferrari,70,29.7
2025,13,Belgium,Red Bull Racing Honda RBPT,55,28.0
2025,13,Belgium,Mercedes,50,25.3
2025,13,Belgium,Williams Mercedes,27,15.5
2025,13,Belgium,Racing Bulls Honda RBPT,17,12.4
2025,13,Belgium,Kick Sauber Ferrari,24,8.1
2025,13,Belgium,Alpine Renault,-13,9.5
2025,13,Belgium,Haas Ferrari,15,11.4
2025,13,Belgium,Aston Martin Aramco Mercedes,20,10.1
2025,14,Hungary,McLaren Mercedes,100,33.9
2025,14,Hungary,Mercedes,54,25.4
2025,14,Hungary,Ferrari,39,30.0
2025,14,Hungary,Aston Martin Aramco Mercedes,45,10.7
2025,14,Hungary,Kick Sauber Ferrari,35,8.7
2025,14,Hungary,Racing Bulls Honda RBPT,29,11.8
2025,14,Hungary,Red Bull Racing Honda RBPT,39,28.1
2025,14,Hungary,Williams Mercedes,24,14.9
2025,14,Hungary,Haas Ferrari,-9,12.0
2025,14,Hungary,Alpine Renault,2,8.9
2025,15,Netherlands,McLaren Mercedes,52,34.2
2025,15,Netherlands,Red Bull Racing Honda RBPT,47,28.4
2025,15,Netherlands,Racing Bulls Honda RBPT,38,11.2
2025,15,Netherlands,Mercedes,30,25.7
2025,15,Netherlands,Williams Mercedes,35,15.5
2025,15,Netherlands,Haas Ferrari,43,11.8
2025,15,Netherlands,Aston Martin Aramco Mercedes,41,11.3
2025,15,Netherlands,Alpine Renault,14,8.3
2025,15,Netherlands,Kick Sauber Ferrari,14,9.3
2025,15,Netherlands,Ferrari,-4,30.3
2025,16,Italy,Red Bull Racing Honda RBPT,56,28.7
2025,16,Italy,McLaren Mercedes,97,34.5
2025,16,Italy,Ferrari,67,30.4
2025,16,Italy,Mercedes,37,26.0
2025,16,Italy,Williams Mercedes,23,16.1
2025,16,Italy,Kick Sauber Ferrari,-2,9.9
2025,16,Italy,Racing Bulls Honda RBPT,27,11.8
2025,16,Italy,Haas Ferrari,7,12.4
2025,16,Italy,Alpine Renault,6,7.7
2025,16,Italy,Aston Martin Aramco Mercedes,-11,11.9
2025,17,Azerbaijan,Red Bull Racing Honda RBPT,85,29.0
2025,17,Azerbaijan,Mercedes,67,26.3
2025,17,Azerbaijan,Williams Mercedes,46,16.7
2025,17,Azerbaijan,Racing Bulls Honda RBPT,41,12.4
2025,17,Azerbaijan,McLaren Mercedes,6,34.8
2025,17,Azerbaijan,Ferrari,28,30.5
2025,17,Azerbaijan,Kick Sauber Ferrari,17,10.5
2025,17,Azerbaijan,Haas Ferrari,13,12.6
2025,17,Azerbaijan,Aston Martin Aramco Mercedes,-2,12.5
2025,17,Azerbaijan,Alpine Renault,7,7.9
2025,18,Singapore,Mercedes,67,26.6
2025,18,Singapore,Red Bull Racing Honda RBPT,51,29.3
2025,18,Singapore,McLaren Mercedes,64,35.1
2025,18,Singapore,Ferrari,48,30.6
2025,18,Singapore,Aston Martin Aramco Mercedes,37,12.3
2025,18,Singapore,Haas Ferrari,15,13.2
2025,18,Singapore,Williams Mercedes,5,17.3
2025,18,Singapore,Racing Bulls Honda RBPT,16,13.0
2025,18,Singapore,Alpine Renault,6,8.1
2025,18,Singapore,Kick Sauber Ferrari,-4,10.7
2025,19,United States,Red Bull Racing Honda RBPT,92,29.6
2025,19,United States,McLaren Mercedes,22,35.4
2025,19,United States,Ferrari,85,30.9
2025,19,United States,Mercedes,61,26.9
2025,19,United States,Kick Sauber Ferrari,25,10.1
2025,19,United States,Haas Ferrari,13,13.0
2025,19,United States,Aston Martin Aramco Mercedes,-12,12.1
2025,19,United States,Racing Bulls Honda RBPT,34,13.6
2025,19,United States,Williams Mercedes,27,17.9
2025,19,United States,Alpine Renault,18,7.9
2025,20,Mexico,McLaren Mercedes,86,35.3
2025,20,Mexico,Ferrari,58,31.2
2025,20,Mexico,Red Bull Racing Honda RBPT,36,29.9
2025,20,Mexico,Haas Ferrari,45,13.2
2025,20,Mexico,McLaren Mercedes,86,35.3
2025,20,Mexico,Mercedes,58,27.2
2025,20,Mexico,Kick Sauber Ferrari,2,10.7
2025,20,Mexico,Williams Mercedes,29,18.5
2025,20,Mexico,Racing Bulls Honda RBPT,-10,14.2
2025,20,Mexico,Aston Martin Aramco Mercedes,2,11.9
2025,20,Mexico,Alpine Renault,14,8.5
2025,21,Brazil,McLaren Mercedes,63,35.6
2025,21,Brazil,Mercedes,91,27.5
2025,21,Brazil,Red Bull Racing Honda RBPT,88,30.2
2025,21,Brazil,Haas Ferrari,54,13.8
2025,21,Brazil,Racing Bulls Honda RBPT,47,14.4
2025,21,Brazil,Kick Sauber Ferrari,-9,10.5
2025,21,Brazil,Alpine Renault,12,9.1
2025,21,Brazil,Williams Mercedes,42,18.6
2025,21,Brazil,Aston Martin Aramco Mercedes,9,11.7
2025,21,Brazil,Ferrari,-3,31.5
2025,22,Las Vegas,Red Bull Racing Honda RBPT,85,30.5
2025,22,Las Vegas,Mercedes,77,27.8
2025,22,Las Vegas,Ferrari,48,31.8
2025,22,Las Vegas,Williams Mercedes,9,18.9
2025,22,Las Vegas,Racing Bulls Honda RBPT,30,15.0
2025,22,Las Vegas,Kick Sauber Ferrari,-8,9.9
2025,22,Las Vegas,Haas Ferrari,24,14.4
2025,22,Las Vegas,Aston Martin Aramco Mercedes,-8,11.1
2025,22,Las Vegas,Alpine Renault,3,9.7
2025,22,Las Vegas,McLaren Mercedes,-34,35.9
2025,23,Qatar,Red Bull Racing Honda RBPT,67,30.8
2025,23,Qatar,McLaren Mercedes,96,36.0
2025,23,Qatar,Williams Mercedes,39,19.2
2025,23,Qatar,Mercedes,57,28.1
2025,23,Qatar,Aston Martin Aramco Mercedes,21,10.5
2025,23,Qatar,Ferrari,22,31.9
2025,23,Qatar,Racing Bulls Honda RBPT,22,15.6
2025,23,Qatar,Kick Sauber Ferrari,4,9.3
2025,23,Qatar,Alpine Renault,14,9.9
2025,23,Qatar,Haas Ferrari,-5,15.0
2025,24,Abu Dhabi,Red Bull Racing Honda RBPT,52,31.1
2025,24,Abu Dhabi,McLaren Mercedes,77,36.1
2025,24,Abu Dhabi,Ferrari,83,31.8
2025,24,Abu Dhabi,Mercedes,35,28.4
2025,24,Abu Dhabi,Aston Martin Aramco Mercedes,47,10.3
2025,24,Abu Dhabi,Haas Ferrari,34,15.6
2025,24,Abu Dhabi,Kick Sauber Ferrari,40,8.7
2025,24,Abu Dhabi,Williams Mercedes,24,19.5
2025,24,Abu Dhabi,Racing Bulls Honda RBPT,6,16.2
2025,24,Abu Dhabi,Alpine Renault,4,10.1
