Season,Round,Track,Team,Points,Cost
2025,1,Australia,McLaren Mercedes,71,30.0
2025,1,Australia,Red Bull Racing Honda RBPT,19,25.2
2025,1,Australia,Mercedes,67,22.7
2025,1,Australia,Williams Mercedes,10,13.1
2025,1,Australia,Aston Martin Aramco Mercedes,1,8.5
2025,1,Australia,Kick Sauber Ferrari,3,6.2
2025,1,Australia,Ferrari,36,27.1
2025,1,Australia,Alpine Renault,-14,9.5
2025,1,Australia,Racing Bulls Honda RBPT,-10,8.0
2025,1,Australia,Haas Ferrari,14,7.0
2025,2,China,McLaren Mercedes,101,30.3
2025,2,China,Mercedes,69,23.0
2025,2,China,Red Bull Racing Honda RBPT,67,25.1
2025,2,China,Haas Ferrari,47,7.6
2025,2,China,Williams Mercedes,26,12.9
2025,2,China,Aston Martin Aramco Mercedes,4,7.9
2025,2,China,Racing Bulls Honda RBPT,42,7.4
2025,2,China,Alpine Renault,-6,8.9
2025,2,China,Kick Sauber Ferrari,12,5.6
2025,2,China,Ferrari,-23,27.4
2025,3,Japan,Red Bull Racing Honda RBPT,46,25.4
2025,3,Japan,McLaren Mercedes,71,30.6
2025,3,Japan,Ferrari,56,27.1
2025,3,Japan,Mercedes,56,23.3
2025,3,Japan,Racing Bulls Honda RBPT,14,8.0
2025,3,Japan,Williams Mercedes,19,13.5
2025,3,Japan,Haas Ferrari,10,8.2
2025,3,Japan,Aston Martin Aramco Mercedes,9,7.3
2025,3,Japan,Alpine Renault,9,8.3
2025,3,Japan,Kick Sauber Ferrari,0,6.2
2025,4,Bahrain,McLaren Mercedes,92,30.9
2025,4,Bahrain,Mercedes,60,23.6
2025,4,Bahrain,Ferrari,73,27.0
2025,4,Bahrain,Red Bull Racing Honda RBPT,46,25.7
2025,4,Bahrain,Alpine Renault,22,7.7
2025,4,Bahrain,Haas Ferrari,40,8.8
2025,4,Bahrain,Williams Mercedes,13,14.1
2025,4,Bahrain,Racing Bulls Honda RBPT,22,8.6
2025,4,Bahrain,Aston Martin Aramco Mercedes,18,7.1
2025,4,Bahrain,Kick Sauber Ferrari,-22,6.0
2025,5,Saudi Arabia,McLaren Mercedes,86,31.2
2025,5,Saudi Arabia,Red Bull Racing Honda RBPT,21,26.0
2025,5,Saudi Arabia,Ferrari,64,27.3
2025,5,Saudi Arabia,Mercedes,46,23.9
2025,5,Saudi Arabia,Williams Mercedes,27,14.7
2025,5,Saudi Arabia,Racing Bulls Honda RBPT,18,9.2
2025,5,Saudi Arabia,Aston Martin Aramco Mercedes,11,7.7
2025,5,Saudi Arabia,Haas Ferrari,12,9.4
2025,5,Saudi Arabia,Kick Sauber Ferrari,10,5.4
2025,5,Saudi Arabia,Alpine Renault,-6,7.9
2025,6,Miami,McLaren Mercedes,118,31.5
2025,6,Miami,Mercedes,51,24.2
2025,6,Miami,Red Bull Racing Honda RBPT,60,26.3
2025,6,Miami,Williams Mercedes,31,15.3
2025,6,Miami,Ferrari,34,27.6
2025,6,Miami,Racing Bulls Honda RBPT,-6,9.8
2025,6,Miami,Haas Ferrari,8,10.0
2025,6,Miami,Alpine Renault,10,8.1
2025,6,Miami,Kick Sauber Ferrari,9,4.8
2025,6,Miami,Aston Martin Aramco Mercedes,13,8.3
2025,7,Emilia Romagna,Red Bull Racing Honda RBPT,71,26.6
2025,7,Emilia Romagna,McLaren Mercedes,82,31.8
2025,7,Emilia Romagna,Ferrari,67,27.9
2025,7,Emilia Romagna,Williams Mercedes,42,15.9
2025,7,Emilia Romagna,Mercedes,6,24.5
2025,7,Emilia Romagna,Racing Bulls Honda RBPT,24,10.0
2025,7,Emilia Romagna,Aston Martin Aramco Mercedes,14,8.9
2025,7,Emilia Romagna,Kick Sauber Ferrari,13,4.5
2025,7,Emilia Romagna,Alpine Renault,10,8.3
2025,7,Emilia Romagna,Haas Ferrari,-13,10.6
2025,8,Monaco,McLaren Mercedes,83,32.1
2025,8,Monaco,Ferrari,71,28.2
2025,8,Monaco,Red Bull Racing Honda RBPT,23,26.9
2025,8,Monaco,Racing Bulls Honda RBPT,31,10.6
2025,8,Monaco,Haas Ferrari,25,10.0
2025,8,Monaco,Williams Mercedes,16,16.5
2025,8,Monaco,Mercedes,9,24.8
2025,8,Monaco,Alpine Renault,-11,7.7
2025,8,Monaco,Kick Sauber Ferrari,7,5.1
2025,8,Monaco,Aston Martin Aramco Mercedes,-4,9.5
2025,9,Spain,McLaren Mercedes,88,32.4
2025,9,Spain,Ferrari,61,28.5
2025,9,Spain,Mercedes,24,24.7
2025,9,Spain,Kick Sauber Ferrari,52,5.7
2025,9,Spain,Racing Bulls Honda RBPT,35,11.2
2025,9,Spain,Alpine Renault,31,7.1
2025,9,Spain,Aston Martin Aramco Mercedes,1,9.3
2025,9,Spain,Red Bull Racing Honda RBPT,28,27.2
2025,9,Spain,Williams Mercedes,-8,17.1
