Season,Round,Track,Team,Points,Cost
2024,1,Bahrain,Red Bull Racing Honda RBPT,89,27.9
2024,1,Bahrain,Ferrari,73,19.3
2024,1,Bahrain,Mercedes,42,20.1
2024,1,Bahrain,McLaren Mercedes,36,23.2
2024,1,Bahrain,Aston Martin Aramco Mercedes,20,13.6
2024,1,Bahrain,Kick Sauber Ferrari,10,6.6
2024,1,Bahrain,Haas Ferrari,9,6.3
2024,1,Bahrain,RB Honda RBPT,7,8.5
2024,1,Bahrain,Williams Mercedes,4,6.3
2024,1,Bahrain,Alpine Renault,12,8.4
2024,2,Saudi Arabia,Red Bull Racing Honda RBPT,90,28.0
2024,2,Saudi Arabia,Ferrari,58,19.6
2024,2,Saudi Arabia,McLaren Mercedes,41,23.3
2024,2,Saudi Arabia,Aston Martin Aramco Mercedes,9,14.1
2024,2,Saudi Arabia,Mercedes,36,20.2
2024,2,Saudi Arabia,Haas Ferrari,19,6.2
2024,2,Saudi Arabia,Williams Mercedes,14,6.2
2024,2,Saudi Arabia,Alpine Renault,-13,8.3
2024,2,Saudi Arabia,RB Honda RBPT,4,8.4
2024,2,Saudi Arabia,Kick Sauber Ferrari,-4,6.5
2024,3,Australia,Ferrari,92,19.9
2024,3,Australia,McLaren Mercedes,54,23.6
2024,3,Australia,Red Bull Racing Honda RBPT,32,28.2
2024,3,Australia,Aston Martin Aramco Mercedes,35,14.0
2024,3,Australia,RB Honda RBPT,24,8.3
2024,3,Australia,Haas Ferrari,20,6.7
2024,3,Australia,Williams Mercedes,5,6.7
2024,3,Australia,Alpine Renault,6,8.1
2024,3,Australia,Kick Sauber Ferrari,7,6.3
2024,3,Australia,Mercedes,-17,20.3
2024,4,Japan,Red Bull Racing Honda RBPT,108,28.2
2024,4,Japan,Ferrari,59,20.9
2024,4,Japan,McLaren Mercedes,39,23.9
2024,4,Japan,Aston Martin Aramco Mercedes,32,14.5
2024,4,Japan,Mercedes,28,19.8
2024,4,Japan,RB Honda RBPT,-4,8.8
2024,4,Japan,Haas Ferrari,20,7.2
2024,4,Japan,Kick Sauber Ferrari,-8,6.2
2024,4,Japan,Alpine Renault,11,8.0
2024,4,Japan,Williams Mercedes,-10,6.6
2024,5,China,Red Bull Racing Honda RBPT,126,28.4
2024,5,China,McLaren Mercedes,48,24.0
2024,5,China,Ferrari,74,21.2
2024,5,China,Mercedes,62,19.9
2024,5,China,Aston Martin Aramco Mercedes,29,15.0
2024,5,China,Haas Ferrari,26,7.7
2024,5,China,Alpine Renault,28,7.9
2024,5,China,Williams Mercedes,20,6.4
2024,5,China,Kick Sauber Ferrari,4,6.0
2024,5,China,RB Honda RBPT,-14,8.6
2024,6,Miami,McLaren Mercedes,50,24.1
2024,6,Miami,Red Bull Racing Honda RBPT,85,28.6
2024,6,Miami,Ferrari,79,21.5
2024,6,Miami,Mercedes,40,20.2
2024,6,Miami,RB Honda RBPT,44,8.4
2024,6,Miami,Aston Martin Aramco Mercedes,-7,15.1
2024,6,Miami,Alpine Renault,29,8.4
2024,6,Miami,Haas Ferrari,19,8.2
2024,6,Miami,Kick Sauber Ferrari,29,5.9
2024,6,Miami,Williams Mercedes,4,6.3
2024,7,Emilia Romagna,Red Bull Racing Honda RBPT,61,28.7
2024,7,Emilia Romagna,McLaren Mercedes,64,24.2
2024,7,Emilia Romagna,Ferrari,51,21.8
2024,7,Emilia Romagna,Mercedes,54,20.3
2024,7,Emilia Romagna,Aston Martin Aramco Mercedes,15,14.6
2024,7,Emilia Romagna,RB Honda RBPT,12,8.9
2024,7,Emilia Romagna,Haas Ferrari,21,8.7
2024,7,Emilia Romagna,Alpine Renault,5,8.9
2024,7,Emilia Romagna,Kick Sauber Ferrari,2,6.4
2024,7,Emilia Romagna,Williams Mercedes,-21,6.2
2024,8,Monaco,Ferrari,68,22.1
2024,8,Monaco,McLaren Mercedes,56,24.5
2024,8,Monaco,Mercedes,46,20.6
2024,8,Monaco,Red Bull Racing Honda RBPT,8,28.8
2024,8,Monaco,RB Honda RBPT,12,8.8
2024,8,Monaco,Williams Mercedes,11,6.0
2024,8,Monaco,Alpine Renault,-12,8.8
2024,8,Monaco,Aston Martin Aramco Mercedes,13,15.1
2024,8,Monaco,Kick Sauber Ferrari,12,6.3
2024,8,Monaco,Haas Ferrari,-65,9.2
2024,9,Canada,Red Bull Racing Honda RBPT,25,28.8
2024,9,Canada,McLaren Mercedes,57,25.5
2024,9,Canada,Mercedes,74,21.6
2024,9,Canada,Aston Martin Aramco Mercedes,38,15.2
2024,9,Canada,RB Honda RBPT,19,9.3
2024,9,Canada,Alpine Renault,31,8.6
2024,9,Canada,Haas Ferrari,34,9.0
2024,9,Canada,Kick Sauber Ferrari,13,6.8
2024,9,Canada,Ferrari,-16,23.1
2024,9,Canada,Williams Mercedes,-26,6.5
2024,10,Spain,Red Bull Racing Honda RBPT,82,28.8
2024,10,Spain,McLaren Mercedes,66,25.6
2024,10,Spain,Mercedes,66,21.9
2024,10,Spain,Ferrari,44,22.6
2024,10,Spain,Alpine Renault,24,9.1
2024,10,Spain,Haas Ferrari,11,9.5
2024,10,Spain,Aston Martin Aramco Mercedes,10,15.5
2024,10,Spain,Kick Sauber Ferrari,8,7.3
2024,10,Spain,RB Honda RBPT,10,9.8
2024,10,Spain,Williams Mercedes,4,6.3
2024,11,Austria,Mercedes,76,22.2
2024,11,Austria,McLaren Mercedes,55,25.7
2024,11,Austria,Ferrari,69,22.7
2024,11,Austria,Red Bull Racing Honda RBPT,56,28.9
2024,11,Austria,Haas Ferrari,41,9.4
2024,11,Austria,RB Honda RBPT,23,9.7
2024,11,Austria,Alpine Renault,21,9.6
2024,11,Austria,Aston Martin Aramco Mercedes,27,15.2
2024,11,Austria,Williams Mercedes,11,6.2
2024,11,Austria,Kick Sauber Ferrari,9,7.2
2024,12,Great Britain,Mercedes,38,22.5
2024,12,Great Britain,Red Bull Racing Honda RBPT,55,28.9
2024,12,Great Britain,McLaren Mercedes,59,25.7
2024,12,Great Britain,Ferrari,35,23.0
2024,12,Great Britain,Haas Ferrari,30,9.9
2024,12,Great Britain,Aston Martin Aramco Mercedes,31,15.3
2024,12,Great Britain,Williams Mercedes,15,6.1
2024,12,Great Britain,RB Honda RBPT,16,10.2
2024,12,Great Britain,Kick Sauber Ferrari,3,7.1
2024,12,Great Britain,Alpine Renault,-12,10.1
2024,13,Hungary,McLaren Mercedes,74,25.8
2024,13,Hungary,Mercedes,58,22.6
2024,13,Hungary,Ferrari,47,23.1
2024,13,Hungary,Red Bull Racing Honda RBPT,47,29.0
2024,13,Hungary,RB Honda RBPT,25,10.7
2024,13,Hungary,Aston Martin Aramco Mercedes,23,15.4
2024,13,Hungary,Haas Ferrari,10,10.4
2024,13,Hungary,Williams Mercedes,9,6.6
2024,13,Hungary,Kick Sauber Ferrari,2,7.0
2024,13,Hungary,Alpine Renault,-10,9.9
2024,14,Belgium,Mercedes,25,22.9
2024,14,Belgium,McLaren Mercedes,67,25.9
2024,14,Belgium,Ferrari,47,23.4
2024,14,Belgium,Red Bull Racing Honda RBPT,69,29.0
2024,14,Belgium,Aston Martin Aramco Mercedes,21,15.5
2024,14,Belgium,Alpine Renault,18,9.7
2024,14,Belgium,RB Honda RBPT,18,11.2
2024,14,Belgium,Williams Mercedes,5,6.5
2024,14,Belgium,Haas Ferrari,7,10.3
2024,14,Belgium,Kick Sauber Ferrari,-14,6.9
2024,15,Netherlands,McLaren Mercedes,81,26.0
2024,15,Netherlands,Red Bull Racing Honda RBPT,52,29.1
2024,15,Netherlands,Ferrari,59,23.7
2024,15,Netherlands,Mercedes,39,23.0
2024,15,Netherlands,Alpine Renault,17,10.2
2024,15,Netherlands,Aston Martin Aramco Mercedes,17,15.6
2024,15,Netherlands,Haas Ferrari,16,10.2
2024,15,Netherlands,RB Honda RBPT,15,11.7
2024,15,Netherlands,Williams Mercedes,-2,6.4
2024,15,Netherlands,Kick Sauber Ferrari,-2,6.7
2024,16,Italy,Ferrari,65,24.0
2024,16,Italy,McLaren Mercedes,83,26.1
