Season,Round,Track,Team,Points,Cost
2024,16,Italy,Mercedes,49,23.1
2024,16,Italy,Red Bull Racing Honda RBPT,40,29.2
2024,16,Italy,Williams Mercedes,22,6.2
2024,16,Italy,Haas Ferrari,11,10.7
2024,16,Italy,Aston Martin Aramco Mercedes,11,15.7
2024,16,Italy,RB Honda RBPT,-15,12.2
2024,16,Italy,Alpine Renault,18,10.7
2024,16,Italy,Kick Sauber Ferrari,9,6.5
2024,17,Azerbaijan,McLaren Mercedes,85,26.2
2024,17,Azerbaijan,Ferrari,34,24.3
2024,17,Azerbaijan,Mercedes,65,23.4
2024,17,Azerbaijan,Red Bull Racing Honda RBPT,26,29.2
2024,17,Azerbaijan,Aston Martin Aramco Mercedes,16,15.4
2024,17,Azerbaijan,Williams Mercedes,31,6.7
2024,17,Azerbaijan,Haas Ferrari,16,10.6
2024,17,Azerbaijan,Alpine Renault,2,11.2
2024,17,Azerbaijan,RB Honda RBPT,-14,12.0
2024,17,Azerbaijan,Kick Sauber Ferrari,17,6.4
2024,18,Singapore,McLaren Mercedes,81,26.4
2024,18,Singapore,Red Bull Racing Honda RBPT,47,29.2
2024,18,Singapore,Mercedes,49,23.7
2024,18,Singapore,Ferrari,49,24.4
2024,18,Singapore,Aston Martin Aramco Mercedes,18,15.5
2024,18,Singapore,Haas Ferrari,10,11.1
2024,18,Singapore,Williams Mercedes,-7,7.2
2024,18,Singapore,RB Honda RBPT,22,11.8
2024,18,Singapore,Alpine Renault,11,11.1
2024,18,Singapore,Kick Sauber Ferrari,8,6.9
2024,19,United States,Ferrari,97,24.7
2024,19,United States,Red Bull Racing Honda RBPT,72,29.3
2024,19,United States,McLaren Mercedes,80,26.5
2024,19,United States,Mercedes,33,24.0
2024,19,United States,Haas Ferrari,25,11.0
2024,19,United States,RB Honda RBPT,28,12.3
2024,19,United States,Williams Mercedes,19,7.0
2024,19,United States,Alpine Renault,14,11.0
2024,19,United States,Aston Martin Aramco Mercedes,5,15.6
2024,19,United States,Kick Sauber Ferrari,6,6.8
2024,20,Mexico,Ferrari,82,25.0
2024,20,Mexico,McLaren Mercedes,73,26.6
2024,20,Mexico,Mercedes,54,24.1
2024,20,Mexico,Red Bull Racing Honda RBPT,41,29.4
2024,20,Mexico,Haas Ferrari,34,11.5
2024,20,Mexico,Alpine Renault,21,10.9
2024,20,Mexico,Aston Martin Aramco Mercedes,-5,15.3
2024,20,Mexico,Williams Mercedes,-5,6.9
2024,20,Mexico,Kick Sauber Ferrari,10,6.7
2024,20,Mexico,RB Honda RBPT,-13,12.8
2024,21,Brazil,Red Bull Racing Honda RBPT,96,29.4
2024,21,Brazil,Alpine Renault,71,11.4
2024,21,Brazil,Mercedes,45,24.4
2024,21,Brazil,Ferrari,24,25.1
2024,21,Brazil,McLaren Mercedes,50,26.7
2024,21,Brazil,RB Honda RBPT,36,12.6
2024,21,Brazil,Haas Ferrari,-29,12.0
2024,21,Brazil,Kick Sauber Ferrari,18,6.6
2024,21,Brazil,Aston Martin Aramco Mercedes,-4,14.8
2024,21,Brazil,Williams Mercedes,-20,6.7
2024,22,Las Vegas,Mercedes,82,24.7
2024,22,Las Vegas,Ferrari,72,25.1
2024,22,Las Vegas,Red Bull Racing Honda RBPT,55,29.6
2024,22,Las Vegas,McLaren Mercedes,66,26.8
2024,22,Las Vegas,Haas Ferrari,27,11.8
2024,22,Las Vegas,RB Honda RBPT,16,13.1
2024,22,Las Vegas,Aston Martin Aramco Mercedes,14,14.6
2024,22,Las Vegas,Kick Sauber Ferrari,8,7.1
2024,22,Las Vegas,Williams Mercedes,-5,6.5
2024,22,Las Vegas,Alpine Renault,-12,12.4
2024,23,Qatar,Red Bull Racing Honda RBPT,44,29.7
2024,23,Qatar,Ferrari,70,25.2
2024,23,Qatar,McLaren Mercedes,76,26.9
2024,23,Qatar,Mercedes,47,25.0
2024,23,Qatar,Alpine Renault,9,12.2
2024,23,Qatar,Aston Martin Aramco Mercedes,9,14.5
2024,23,Qatar,Kick Sauber Ferrari,35,7.0
2024,23,Qatar,Haas Ferrari,14,12.3
2024,23,Qatar,RB Honda RBPT,14,13.0
2024,23,Qatar,Williams Mercedes,-12,6.3
2024,24,Abu Dhabi,McLaren Mercedes,65,27.0
2024,24,Abu Dhabi,Ferrari,82,25.3
2024,24,Abu Dhabi,Mercedes,55,25.1
2024,24,Abu Dhabi,Red Bull Racing Honda RBPT,15,29.7
2024,24,Abu Dhabi,Alpine Renault,27,12.1
2024,24,Abu Dhabi,Haas Ferrari,30,12.2
2024,24,Abu Dhabi,Aston Martin Aramco Mercedes,18,14.4
2024,24,Abu Dhabi,Williams Mercedes,-10,6.1
2024,24,Abu Dhabi,RB Honda RBPT,11,12.9
2024,24,Abu Dhabi,Kick Sauber Ferrari,-3,7.5
