Season,Round,Track,Team,Points,Cost
2023,11,Hungary,McLaren Mercedes,62,10.8
2023,11,Hungary,Mercedes,52,25.3
2023,11,Hungary,Ferrari,32,22.9
2023,11,Hungary,Aston Martin Aramco Mercedes,21,9.0
2023,11,Hungary,Williams Mercedes,9,5.5
2023,11,Hungary,Alfa Romeo Ferrari,6,5.9
2023,11,Hungary,AlphaTauri Honda RBPT,8,6.0
2023,11,Hungary,Haas Ferrari,10,4.9
2023,11,Hungary,Alpine Renault,-35,10.4
2023,12,Belgium,Red Bull Racing Honda RBPT,80,28.6
2023,12,Belgium,Ferrari,38,23.0
2023,12,Belgium,Mercedes,70,25.4
2023,12,Belgium,Aston Martin Aramco Mercedes,24,9.5
2023,12,Belgium,McLaren Mercedes,18,11.8
2023,12,Belgium,Alpine Renault,43,10.3
2023,12,Belgium,AlphaTauri Honda RBPT,18,6.0
2023,12,Belgium,Alfa Romeo Ferrari,26,5.9
2023,12,Belgium,Williams Mercedes,21,5.5
2023,12,Belgium,Haas Ferrari,23,4.9
2023,13,Netherlands,Red Bull Racing Honda RBPT,101,28.7
2023,13,Netherlands,Aston Martin Aramco Mercedes,67,10.0
2023,13,Netherlands,Alpine Renault,66,10.8
2023,13,Netherlands,Ferrari,34,23.1
2023,13,Netherlands,Mercedes,40,25.5
2023,13,Netherlands,McLaren Mercedes,56,11.8
2023,13,Netherlands,Williams Mercedes,9,6.0
2023,13,Netherlands,Haas Ferrari,26,5.4
2023,13,Netherlands,AlphaTauri Honda RBPT,40,6.0
2023,13,Netherlands,Alfa Romeo Ferrari,4,6.4
2023,14,Italy,Red Bull Racing Honda RBPT,81,28.8
2023,14,Italy,Ferrari,67,23.2
2023,14,Italy,Mercedes,44,25.5
2023,14,Italy,Williams Mercedes,20,6.0
2023,14,Italy,McLaren Mercedes,44,12.3
2023,14,Italy,Aston Martin Aramco Mercedes,17,11.0
2023,14,Italy,Alfa Romeo Ferrari,12,6.4
2023,14,Italy,AlphaTauri Honda RBPT,-12,6.5
2023,14,Italy,Alpine Renault,-16,11.3
2023,14,Italy,Haas Ferrari,0,5.9
2023,15,Singapore,Ferrari,70,23.5
2023,15,Singapore,McLaren Mercedes,64,13.3
2023,15,Singapore,Mercedes,47,25.6
2023,15,Singapore,Red Bull Racing Honda RBPT,54,29.0
2023,15,Singapore,Alpine Renault,13,11.2
2023,15,Singapore,AlphaTauri Honda RBPT,-4,6.4
2023,15,Singapore,Haas Ferrari,18,5.9
2023,15,Singapore,Williams Mercedes,19,6.5
2023,15,Singapore,Alfa Romeo Ferrari,-8,6.4
2023,15,Singapore,Aston Martin Aramco Mercedes,4,11.5
2023,16,Japan,Red Bull Racing Honda RBPT,46,29.1
2023,16,Japan,McLaren Mercedes,66,14.3
2023,16,Japan,Ferrari,65,23.8
2023,16,Japan,Mercedes,44,25.7
2023,16,Japan,Aston Martin Aramco Mercedes,7,11.5
2023,16,Japan,Alpine Renault,20,11.2
2023,16,Japan,AlphaTauri Honda RBPT,15,6.3
2023,16,Japan,Alfa Romeo Ferrari,-10,6.3
2023,16,Japan,Haas Ferrari,15,6.4
2023,16,Japan,Williams Mercedes,-35,7.0
2023,17,Qatar,Red Bull Racing Honda RBPT,64,29.2
2023,17,Qatar,McLaren Mercedes,110,15.3
2023,17,Qatar,Mercedes,53,25.8
2023,17,Qatar,Ferrari,18,24.1
2023,17,Qatar,Aston Martin Aramco Mercedes,47,11.5
2023,17,Qatar,Alpine Renault,23,11.7
2023,17,Qatar,Alfa Romeo Ferrari,39,6.2
2023,17,Qatar,Williams Mercedes,-10,6.9
2023,17,Qatar,Haas Ferrari,6,6.9
2023,17,Qatar,AlphaTauri Honda RBPT,-4,6.8
2023,18,United States,Red Bull Racing Honda RBPT,95,29.3
2023,18,United States,Mercedes,21,25.9
2023,18,United States,McLaren Mercedes,36,16.3
2023,18,United States,Ferrari,25,24.2
2023,18,United States,Alpine Renault,27,12.2
2023,18,United States,Aston Martin Aramco Mercedes,0,12.0
2023,18,United States,AlphaTauri Honda RBPT,34,6.7
2023,18,United States,Williams Mercedes,29,6.8
2023,18,United States,Haas Ferrari,30,6.9
2023,18,United States,Alfa Romeo Ferrari,15,6.7
2023,19,Mexico,Red Bull Racing Honda RBPT,45,29.4
2023,19,Mexico,Mercedes,69,25.9
2023,19,Mexico,Ferrari,63,24.3
2023,19,Mexico,McLaren Mercedes,57,16.4
